# n
46

#     S       R
136.650  302.55
150.340  585.37
188.240  673.34
210.350  404.34
239.390  545.80
255.950 1190.64
249.430  666.64
259.650  744.15
268.300  556.82
242.970  700.82
213.260  744.15
227.870  798.11
211.000 1143.95
181.600  273.76
156.780  529.66
157.780  337.73
159.430  603.20
174.690  873.27
188.650  474.49
189.440  327.75
154.600  653.44
129.290  722.16
120.930  498.82
113.150  276.51
105.380  396.33
 98.576  293.61
 93.093  260.41
 77.977  627.81
 70.771  438.01
 67.379  369.53
 64.748  344.55
 69.805  224.13
 80.186  365.86
 78.796  425.07
 75.325  365.86
 61.501  351.51
 56.104  217.51
 47.022  433.65
 39.408  237.99
 41.458  324.49
 36.851  204.84
 32.716  137.31
 31.164  169.40
 27.362  164.39
 33.775  115.84
 39.558  137.31
